Template,AGN_Type,Alpha,Redshift,u-g,g-r,Classification
Arp_118,Type1,0.5,1.5,0.23001605095327093,0.23165072257417663,Correct Identification
Arp_118,Type1,0.5,1.6,0.22046376694764902,0.23304301161503815,Correct Identification
Arp_118,Type1,0.5,1.7,0.22786983804468974,0.23517418795130496,Correct Identification
Arp_118,Type1,0.5,1.8,0.24227020445263747,0.2424754684933319,Correct Identification
Arp_118,Type1,0.5,1.9,0.26087289983284734,0.24620195519234755,Correct Identification
Arp_118,Type1,0.5,2.0,0.2789134608712871,0.25141325658507085,Correct Identification
Arp_118,Type1,0.5,2.1,0.2913274022628549,0.2524372829177999,Correct Identification
Arp_118,Type1,0.5,2.2,0.2878277480623588,0.25179188018115894,Correct Identification
Arp_118,Type1,0.5,2.3,0.29207815869764886,0.2508941500738331,Correct Identification
Arp_118,Type1,0.5,2.4,0.3011387439277229,0.25536512225726327,Correct Identification
Arp_118,Type1,0.5,2.5,0.31587881610075996,0.254506456309084,Correct Identification
Arp_118,Type1,0.5,2.6,0.3351805823188059,0.2527932674583582,Correct Identification
Arp_118,Type1,0.5,2.7,0.35506190888366973,0.25621991823639334,Missed Selection
Arp_118,Type1,0.5,2.8,0.3672207735359265,0.2643455931189713,Missed Selection
Arp_118,Type1,0.5,2.9,0.37968824898831244,0.269661017658418,Missed Selection
Arp_118,Type1,0.5,3.0,0.3842217950777389,0.2800868407923822,Missed Selection
Arp_118,Type1,0.5,3.1,0.3877816047436511,0.293099229627483,Missed Selection
Arp_118,Type1,0.5,3.2,0.38553328267122566,0.30635450871391257,Missed Selection
Arp_118,Type1,0.5,3.3,0.3818494106768284,0.3188061538828606,Missed Selection
Arp_118,Type1,0.5,3.4,0.37609893282986917,0.33177874989243605,Missed Selection
Arp_118,Type1,0.5,3.5,0.3764627687440907,0.3390799180195323,Missed Selection
Arp_118,Type1,0.5,3.6,0.3719410164998287,0.3471579960595932,Correct Identification
Arp_118,Type1,0.5,3.7,0.3641650138155619,0.35196646073658755,Correct Identification
Arp_118,Type1,0.5,3.8,0.3561068387246067,0.3587626337236074,Correct Identification
Arp_118,Type1,0.5,3.9,0.3483674779041017,0.3663551582730591,Correct Identification
Arp_118,Type1,0.5,4.0,0.3411168353348373,0.3744631046635476,Correct Identification
Arp_118,Type1,0.6000000000000001,0.0,1.074332694071412,0.648310208533168,Correct Identification
Arp_118,Type1,0.6000000000000001,0.1,1.0043455265394101,0.7506689884345263,Correct Identification
Arp_118,Type1,0.6000000000000001,0.2,0.8533990343332505,0.9329577527866597,Correct Identification
Arp_118,Type1,0.6000000000000001,0.3,0.7289482357472785,1.0543237560538223,Correct Identification
Arp_118,Type1,0.6000000000000001,0.4,0.5976873145035881,1.0906934176156113,Correct Identification
Arp_118,Type1,0.6000000000000001,0.5,0.49404354289650243,1.0014124635395483,Correct Identification
Arp_118,Type1,0.6000000000000001,0.6,0.38849138455915266,0.8517458315379294,Correct Identification
Arp_118,Type1,0.6000000000000001,0.7,0.29698865995018053,0.7357447499014818,Correct Identification
Arp_118,Type1,0.6000000000000001,0.8,0.24360255471979642,0.6351603563663346,Correct Identification
Arp_118,Type1,0.6000000000000001,0.9,0.21958041951283036,0.5663958336404171,Correct Identification
Arp_118,Type1,0.6000000000000001,1.0,0.21907910514614315,0.4927076998940194,Correct Identification
Arp_118,Type1,0.6000000000000001,1.1,0.21449258483367828,0.4215953520225284,Correct Identification
Arp_118,Type1,0.6000000000000001,1.2,0.22587526114353906,0.3538426929065466,Correct Identification
Arp_118,Type1,0.6000000000000001,1.3,0.23335637423142686,0.28845300079922964,Correct Identification
Arp_118,Type1,0.6000000000000001,1.4,0.23273384833462885,0.23937198329109677,Correct Identification
Arp_118,Type1,0.6000000000000001,1.5,0.22029375456198963,0.2237852046910227,Correct Identification
Arp_118,Type1,0.6000000000000001,1.6,0.21188253817323854,0.22474135055341904,Correct Identification
Arp_118,Type1,0.6000000000000001,1.7,0.21792615079337807,0.2264162442576918,Correct Identification
Arp_118,Type1,0.6000000000000001,1.8,0.23007238939628394,0.23283148513654695,Correct Identification
Arp_118,Type1,0.6000000000000001,1.9,0.24595182775609814,0.2359929901611082,Correct Identification
Arp_118,Type1,0.6000000000000001,2.0,0.2612453504959049,0.24038038239801196,Correct Identification
Arp_118,Type1,0.6000000000000001,2.1,0.2716502931727405,0.24114233632733217,Correct Identification
Arp_118,Type1,0.6000000000000001,2.2,0.26868226312561916,0.2405742040966956,Correct Identification
Arp_118,Type1,0.6000000000000001,2.3,0.27271426144643485,0.23965102594470977,Correct Identification
Arp_118,Type1,0.6000000000000001,2.4,0.2808130009562966,0.24327664532180293,Correct Identification
Arp_118,Type1,0.6000000000000001,2.5,0.293945950755905,0.24227127895782274,Correct Identification
Arp_118,Type1,0.6000000000000001,2.6,0.31107991619676767,0.24061391019536416,Correct Identification
Arp_118,Type1,0.6000000000000001,2.7,0.3290119058164116,0.24351056233604496,Missed Selection
Arp_118,Type1,0.6000000000000001,2.8,0.34061344443038166,0.25037377305697106,Missed Selection
Arp_118,Type1,0.6000000000000001,2.9,0.3526468564578735,0.2547173016250355,Missed Selection
Arp_118,Type1,0.6000000000000001,3.0,0.35793529933915025,0.26359273135997796,Missed Selection
Arp_118,Type1,0.6000000000000001,3.1,0.3624172627384077,0.27481684256445504,Missed Selection
Arp_118,Type1,0.6000000000000001,3.2,0.3621317561440591,0.28636344421183324,Missed Selection
Arp_118,Type1,0.6000000000000001,3.3,0.36069069109502294,0.29720942341005596,Missed Selection
Arp_118,Type1,0.6000000000000001,3.4,0.3572106755799638,0.308581144819442,Missed Selection
Arp_118,Type1,0.6000000000000001,3.5,0.35875256886230744,0.3152076481058437,Missed Selection
Arp_118,Type1,0.6000000000000001,3.6,0.3559209722841068,0.322626602117591,Correct Identification
Arp_118,Type1,0.6000000000000001,3.7,0.3501961047139446,0.32731159080802996,Correct Identification
Arp_118,Type1,0.6000000000000001,3.8,0.34415216677128413,0.33387640519565664,Correct Identification
Arp_118,Type1,0.6000000000000001,3.9,0.33828181322081363,0.3412479701669362,Correct Identification
Arp_118,Type1,0.6000000000000001,4.0,0.33280402875936943,0.3490668794288503,Correct Identification
Arp_118,Type1,0.7000000000000001,0.0,1.03244504918084,0.6366962088147226,Correct Identification
Arp_118,Type1,0.7000000000000001,0.1,0.957585759070394,0.7337696606723014,Correct Identification
Arp_118,Type1,0.7000000000000001,0.2,0.8063927353642946,0.9058419222708523,Correct Identification
Arp_118,Type1,0.7000000000000001,0.3,0.6832206534110661,1.0165401091229178,Correct Identification
Arp_118,Type1,0.7000000000000001,0.4,0.5580011277388515,1.0443494328815852,Correct Identification
Arp_118,Type1,0.7000000000000001,0.5,0.46166888977027654,0.9523571235360251,Correct Identification
Arp_118,Type1,0.7000000000000001,0.6,0.36539350074471955,0.8049727907812816,Correct Identification
Arp_118,Type1,0.7000000000000001,0.7,0.2827066650081136,0.6915603525720257,Correct Identification
Arp_118,Type1,0.7000000000000001,0.8,0.23432482035932267,0.5948068259452199,Correct Identification
Arp_118,Type1,0.7000000000000001,0.9,0.21272855570921934,0.5297640812237496,Correct Identification
Arp_118,Type1,0.7000000000000001,1.0,0.21227116269219337,0.46150302612764094,Correct Identification
Arp_118,Type1,0.7000000000000001,1.1,0.20796295866818681,0.39627427754070865,Correct Identification
Arp_118,Type1,0.7000000000000001,1.2,0.21804448909153606,0.3347245197058939,Correct Identification
Arp_118,Type1,0.7000000000000001,1.3,0.22465365903769907,0.27563082122467364,Correct Identification
Arp_118,Type1,0.7000000000000001,1.4,0.22386190631367242,0.23155798925169435,Correct Identification
Arp_118,Type1,0.7000000000000001,1.5,0.21279502974707754,0.21763068913437422,Correct Identification
Arp_118,Type1,0.7000000000000001,1.6,0.20527947413966174,0.21826465460250333,Correct Identification
Arp_118,Type1,0.7000000000000001,1.7,0.21030666468020343,0.2196021638868686,Correct Identification
Arp_118,Type1,0.7000000000000001,1.8,0.22076221213879066,0.22533839454480642,Correct Identification
Arp_118,Type1,0.7000000000000001,1.9,0.2346062284952879,0.2280700195731029,Correct Identification
Arp_118,Type1,0.7000000000000001,2.0,0.2478637079851147,0.23182707906327238,Correct Identification
Arp_118,Type1,0.7000000000000001,2.1,0.25679879018611373,0.23240046097895117,Correct Identification
Arp_118,Type1,0.7000000000000001,2.2,0.25425096297119865,0.23190792881425892,Correct Identification
Arp_118,Type1,0.7000000000000001,2.3,0.2581552481033178,0.23098558311716033,Correct Identification
Arp_118,Type1,0.7000000000000001,2.4,0.2655958158021754,0.23398608288854916,Correct Identification
