id,zpk,field
13414,1.4176,UDS
13006,0.6902,UDS
11259,1.4698,UDS
7089,0.5429,UDS
17494,0.6605,UDS
8823,0.6827,UDS
2056,1.0603,UDS
8829,0.7493,UDS
16748,1.0456,UDS
17938,0.6205,UDS
18003,1.8005,UDS
13197,1.769,UDS
2375,0.3373,UDS
10303,1.9097,UDS
14365,1.0207,UDS
17378,1.5399,UDS
17832,1.5887,UDS
14752,1.019,UDS
6774,1.6648,UDS
7780,0.6207,UDS
17398,0.5428,UDS
14403,0.8562,UDS
17210,1.8097,UDS
11980,0.9068,UDS
17691,1.4681,UDS
18598,1.934,UDS
16023,1.9283,UDS
6076,0.5861,UDS
6695,0.5951,UDS
22060,0.3296,UDS
17123,0.5927,UDS
4670,0.9489,UDS
14091,0.5924,UDS
15533,1.093,UDS
13684,1.1131,UDS
4919,0.6163,UDS
11360,0.5256,UDS
12875,0.661,UDS
7200,0.6243,UDS
10709,0.5972,UDS
6107,0.6186,UDS
10852,0.9061,UDS
11189,1.2873,UDS
7697,0.5922,UDS
8257,0.599,UDS
10056,0.5526,UDS
14771,0.3736,UDS
17921,0.626,UDS
7111,0.7581,UDS
19908,0.5658,UDS
6184,0.5627,UDS
13210,0.8991,UDS
4815,0.7628,UDS
11004,0.609,UDS
8898,0.5636,UDS
6502,1.9808,UDS
22010,0.8152,UDS
11715,0.6369,UDS
19177,0.6052,UDS
7363,0.5882,UDS
12507,0.5375,UDS
4327,0.574,UDS
19468,0.603,UDS
10054,0.6248,UDS
8150,0.6046,UDS
16950,1.7675,UDS
7859,0.6178,UDS
18898,1.0336,UDS
890,0.3004,UDS
12765,0.6489,UDS
630,0.2673,UDS
11138,1.2718,UDS
8742,0.6275,UDS
12792,0.3313,UDS
10934,0.3033,UDS
21462,1.6832,UDS
7465,1.5461,UDS
14003,0.6003,UDS
8132,0.4433,UDS
9464,0.9877,UDS
9137,0.618,UDS
3834,0.5784,UDS
13648,0.8668,UDS
9054,0.8956,UDS
14254,0.3891,UDS
7946,0.6133,UDS
7601,0.6167,UDS
3865,0.5143,UDS
17464,1.6144,UDS
15368,1.0647,UDS
15080,0.4694,UDS
9060,0.6643,UDS
6845,0.3308,UDS
17447,0.3061,UDS
5173,0.557,UDS
16794,0.3463,UDS
4261,0.5206,UDS
13883,0.8058,UDS
1887,0.4364,UDS
17475,1.0974,UDS
19012,0.4129,UDS
14976,1.055,UDS
