id,zpk,uv,vj
7089,0.6653,0.415030564,0.114037375
7093,0.9291,0.542568206,-0.039048304
7107,1.069,0.185144137,0.648026102
7108,1.6136,0.393402276,0.455877641
7120,1.223,0.723149505,0.485803483
7153,0.8365,0.61448133,0.435848293
7207,0.8269,0.47913377,0.294861794
7225,0.9737,0.702509152,0.372895737
7234,0.748,1.657511807,1.096542255
7235,0.6661,0.62212681,0.396043144
7264,1.3691,0.492443108,0.400378376
7267,0.3959,0.551353633,0.545973299
7269,1.2613,0.285131975,-0.055713437
7272,1.5334,0.629699273,0.312341819
7277,0.7547,0.959932289,0.671268178
7284,1.9428,0.53355844,-0.139728725
7285,0.4823,0.518845492,0.794171429
7286,1.2564,0.564892831,0.2844518
7300,0.4984,0.696892254,0.46512153
7313,1.2724,0.554351905,-0.001155873
7317,0.6092,0.766221398,1.176048152
7349,0.3781,0.857740587,0.433820603
7351,0.8932,1.15709669,1.254601005
7358,0.9889,1.094610611,1.002113944
7364,0.9366,0.88225201,0.673409481
7371,1.1707,0.427537719,0.334665834
7372,1.1063,0.560733527,0.077632464
7374,1.178,0.998682099,0.721092324
7390,0.5015,0.769668536,1.163198548
7412,0.7566,0.480629044,0.083865073
7418,1.6397,0.371744475,0.066474811
7424,1.0876,1.057492225,0.952542366
7434,1.3166,0.404162188,0.21452569
7438,1.8518,0.826190298,1.130379047
7439,1.331,0.348590005,0.073699464
7440,0.6654,0.584948523,0.473801009
7451,0.8275,0.818329244,0.354983288
7457,0.5794,1.570580178,1.041957866
7467,1.4725,0.670158211,0.092777365
7468,1.0565,0.752189146,0.471123357
7471,1.2039,0.888032612,0.786936949
7484,0.973,0.716926443,0.288176942
7507,1.5898,0.676394425,0.437783243
7520,1.1761,0.762892982,0.32100876
7521,0.5621,0.71676976,0.358986708
7544,1.1017,1.533611225,0.877465297
7566,0.2748,0.363594604,0.732695289
7571,1.2674,0.474250903,0.340717944
7588,1.6473,1.018657733,0.827717712
7596,0.959,0.950212606,0.685864947
7597,1.0102,0.690333543,0.399145807
7615,0.5165,0.971538369,0.783229064
7623,1.5097,0.67481999,0.343854543
7633,0.3877,0.928433996,0.593397809
7643,0.9607,0.790142785,0.523695581
7649,1.6316,0.23126528,0.18017164
7659,0.6641,0.860334207,0.780786098
