ID,fracAGN
CDFS_12158,0.2
CDFS_12164,0.2
CDFS_12168,0.01
CDFS_12171,0.0
CDFS_12188,0.0
CDFS_12207,0.1
CDFS_12211,0.01
CDFS_12219,0.0
CDFS_12222,0.1
CDFS_12225,0.01
CDFS_12231,0.6
CDFS_12237,0.2
CDFS_12238,0.1
CDFS_12249,0.1
CDFS_12308,0.2
CDFS_12312,0.1
CDFS_12314,0.0
CDFS_12320,0.2
CDFS_12321,0.0
CDFS_12324,0.0
CDFS_12325,0.0
CDFS_12329,0.1
CDFS_12338,0.0
CDFS_12339,0.9
CDFS_12340,0.5
CDFS_12342,0.01
CDFS_12350,0.01
CDFS_12351,0.1
CDFS_12353,0.2
CDFS_12354,0.01
CDFS_12357,0.0
CDFS_12361,0.0
CDFS_12366,0.3
CDFS_12382,0.1
CDFS_12388,0.6
CDFS_12407,0.0
CDFS_12408,0.2
CDFS_12414,0.01
CDFS_12419,0.0
CDFS_12439,0.1
CDFS_12456,0.01
CDFS_12469,0.1
CDFS_12472,0.0
CDFS_12474,0.0
CDFS_12479,0.01
CDFS_12482,0.1
CDFS_12485,0.0
CDFS_12486,0.01
CDFS_12488,0.1
CDFS_12495,0.1
CDFS_12496,0.1
CDFS_12507,0.0
CDFS_12509,0.01
CDFS_12515,0.1
CDFS_12521,0.5
CDFS_12524,0.9
CDFS_12525,0.01
CDFS_12531,0.0
CDFS_12535,0.01
CDFS_12536,0.01
CDFS_12560,0.4
CDFS_12564,0.01
CDFS_12569,0.3
CDFS_12572,0.0
CDFS_12577,0.6
CDFS_12591,0.0
CDFS_12598,0.0
CDFS_12623,0.01
CDFS_12633,0.5
CDFS_12641,0.0
CDFS_12645,0.1
CDFS_12647,0.01
CDFS_12651,0.7
CDFS_12665,0.0
CDFS_12668,0.2
CDFS_12679,0.2
CDFS_12685,0.01
CDFS_12687,0.3
CDFS_12691,0.1
CDFS_12700,0.1
CDFS_12702,0.7
CDFS_12711,0.01
CDFS_12716,0.0
CDFS_12717,0.0
CDFS_12718,0.0
CDFS_12721,0.0
CDFS_12735,0.0
CDFS_12746,0.01
CDFS_12749,0.0
CDFS_12750,0.1
CDFS_12753,0.0
CDFS_12759,0.2
CDFS_12767,0.3
CDFS_12774,0.4
CDFS_12779,0.01
CDFS_12783,0.0
CDFS_12784,0.1
CDFS_12789,0.1
CDFS_12797,0.0
CDFS_12800,0.1
CDFS_12817,0.0
CDFS_12837,0.1
CDFS_12839,0.8
CDFS_12841,0.0
CDFS_12843,0.0
CDFS_12847,0.6
CDFS_12854,0.2
CDFS_12862,0.0
