ID,UV_Full,VJ_Full,UV_Decomposed,VJ_Decomposed,zpk,UG_Full,GR_Full,UG_Decomposed,GR_Decomposed
CDFS_28156,0.44696632024532335,0.20342146959148977,0.44686600400007137,0.20108888854861107,1.5296,0.016052061047076904,-0.038324872572758295,0.016015721215438816,-0.03839905966816559
CDFS_28169,0.7719732231935268,0.6124578067872903,0.9352464239610612,0.6553527323056443,0.5889,0.0808928250637706,0.4714518572665156,0.0969512347237611,0.608153461765724
CDFS_28183,0.9559714309988152,0.5585405764059459,0.9559972620606203,0.5577435771403572,0.7479,0.0005670750837509786,0.4167692121802844,0.0004626679394590383,0.4167751427125381
CDFS_28190,0.5754707063042872,0.27204826218749645,0.5754693981394468,0.2720068874647126,0.4189,0.12329384639920704,0.5593504103849796,0.12329224797129257,0.559351250949689
CDFS_28192,0.9571267894107081,0.5574420672581368,0.9571342229664168,0.5572150952985311,0.4194,0.2865593831226363,0.8250325493095971,0.28654865832571375,0.8250531601235025
CDFS_28193,1.380856255264277,1.436314355025587,1.6197692351087767,1.5384621221897703,1.0727,0.7293032415698519,0.7492770278078069,0.5262558273839062,0.6063997513500254
CDFS_28222,1.0088359492431493,0.6195721893188733,1.0088359492431493,0.6195721893188733,0.7092,0.04215641847397933,0.5093192397494164,0.04215641847397933,0.5093192397494164
CDFS_28224,0.6227483123454647,0.7811219353511376,0.6227483123454647,0.7811219353511376,1.1578,0.20799172320452897,0.1325489652321039,0.20799172320452897,0.1325489652321039
CDFS_28225,0.6558674710676655,0.657923609782813,0.6648390957959975,0.6611875027238625,0.7021,0.1387607085796816,0.35278694836911484,0.13449444936367172,0.35587549133504126
CDFS_28236,1.889135259859259,1.189594867362473,1.9237752611684868,1.1920233057537928,0.6579,0.546459244403124,1.2790826716554875,0.5194089944757962,1.3067948969233356
CDFS_28241,0.553548105960374,0.5036467091002379,1.0088359492431493,0.6195721893188733,1.6117,0.04017862834218988,0.036176519941307106,0.03209671769015188,0.024580160261024275
CDFS_28242,1.2638656065756209,0.8418463867073029,1.3803541573013263,0.8638383299718413,0.5763,0.22819713982410406,0.7995428878537325,0.27760706885169384,0.9225315950002368
CDFS_28250,1.0509405813544674,0.747959338510114,1.0509405813544674,0.747959338510114,0.5013,0.2130577455996132,0.7974543112888455,0.2130577455996132,0.7974543112888455
CDFS_28258,1.9272814098559365,1.2021797780376176,1.9266296617168166,1.1939665517700746,0.5313,0.8679994773261939,1.4190081092482956,0.8655552528446151,1.4182054375633868
CDFS_28259,1.380643608870244,1.3432175954360446,1.380643608870244,1.3432175954360446,1.6747,0.6515935227480298,0.5476849416184848,0.6515935227480298,0.5476849416184848
CDFS_28269,0.49225781617793984,0.29859003480815716,0.49225781617793984,0.29859003480815716,0.9718,-0.05948811258610931,0.009256604638963495,-0.05948811258610931,0.009256604638963495
CDFS_28290,0.25840738484552617,0.1267762746297194,0.25840738484552617,0.1267762746297194,2.4698,0.5102482930142855,-0.050402614828897185,0.5102482930142855,-0.050402614828897185
CDFS_28292,0.4625756743564011,0.27675788974192983,0.5098839644323618,0.2257535853744912,2.2462,0.4119933984774633,0.10638262756950212,0.37034236360437944,0.052365824444336795
CDFS_28297,0.5148112630715787,0.6089443579099338,0.5148112630715787,0.6089443579099338,2.6011,1.0412595285224597,0.31529786255647707,1.0412595285224597,0.31529786255647707
CDFS_28306,1.248941206610553,1.5853530188865363,1.763195562045297,1.9189673318357023,2.3782,2.1533284703140367,1.3774229546826717,1.8948521668716012,1.0342061102807207
CDFS_28309,0.6720919671826238,0.3874978357155072,0.6720919671826238,0.3874978357155072,0.8651,-0.017081019150154475,0.14878048850640369,-0.017081019150154475,0.14878048850640369
CDFS_28319,0.9559972620606061,0.5577435771403572,0.9559972620606061,0.5577435771403572,0.7357,0.0036052905569619043,0.43490786911256407,0.0036052905569619043,0.43490786911256407
CDFS_28340,1.9711833739641094,1.4559590637524593,1.9714731826119447,1.4555347391489732,0.6919,1.1135708427034245,1.6723058201370833,1.1140563504537795,1.6731477420028682
CDFS_28343,0.9131262080702669,0.5103513789446481,0.9131742119787987,0.5080981932584478,1.0424,-0.027662120432310644,0.12928967241762734,-0.02776936342939962,0.12905030950011565
CDFS_28345,0.9559972620606061,0.5577435771403714,0.9559972620606061,0.5577435771403714,0.7664,-0.0022020332475136684,0.39338869035682933,-0.0022020332475136684,0.39338869035682933
CDFS_28353,0.5702559431244225,0.6474478530428769,0.5693468093943466,0.628674644040089,3.5312,11.079729992782617,1.2484345151540452,,
CDFS_28377,0.7430622689686714,0.45504678265834286,0.7385132032611352,0.43721840628857933,1.1866,0.006496193887230106,0.004811387820438995,0.005670131024288594,0.0018516343852041928
CDFS_28378,1.560589515703498,1.3753272684965623,1.8698824276508077,1.448004446091403,1.029,0.43095947902590126,0.5992468581723074,0.279089183803805,0.6558350090035105
CDFS_28382,0.31768720605803935,0.19581370971542356,0.38002440579705876,0.17604594079324443,2.6124,0.7677245860761985,0.029546660887078247,0.8756494097548568,0.013975681239159599
CDFS_28394,1.0376478810178185,0.8904161127408798,1.106297517927942,0.908283691589503,1.8737,0.4636753593747329,0.3342624019509941,0.4266621408537645,0.28977848128216976
CDFS_28396,1.7084721970704635,1.8616823117883428,1.8380895065073872,1.9380316091764769,2.6349,2.4213804367855403,1.2023808027436758,2.4043692805678347,1.1403869670208167
CDFS_28397,1.0088359492431636,0.6195721893188733,1.0088359492431636,0.6195721893188733,0.7448,0.030267587027381637,0.45067178608306335,0.030267587027381637,0.45067178608306335
CDFS_28400,1.0088359492431636,0.6195721893188448,1.0088359492431636,0.6195721893188448,0.5227,0.20208100134216522,0.7834543269365781,0.20208100134216522,0.7834543269365781
CDFS_28425,0.17176535246446178,0.2729699512238142,0.25544265140898403,0.12518543576841523,1.7306,0.05313456548798001,0.08811036198834188,-0.14548699721349578,-0.015932340941489542
CDFS_28430,1.0174809880795266,0.9850998127762836,1.0310551268534454,0.9902286355021914,1.6226,0.23029615668571068,0.21350868322001304,0.22518602225144946,0.209595416738253
CDFS_28432,1.07607553438514,0.8877266633368777,1.07607553438514,0.8877266633368777,1.2767,0.30821904703546465,0.23197356253528767,0.30821904703546465,0.23197356253528767
CDFS_28434,1.8348372233471935,1.0859999326458478,1.8349121454429849,1.0858872318270443,0.7202,0.3333950445728675,1.176153949101149,0.3333111433497322,1.1762735013305132
CDFS_28437,0.9126917601026889,0.5198936641348553,0.9131742119787987,0.5080981932584621,0.3913,0.31173503214063203,0.8085364326483955,0.3048744738078568,0.8110249094210076
CDFS_28441,0.42664324141530585,0.19616749354908336,0.42650345444167215,0.1930374170310074,2.4773,0.5862895596930429,0.0041563790292542535,0.5862772032970582,0.004104994749951629
CDFS_28452,0.9051670167208812,0.8098488417016654,0.910698680281044,0.7331064093711461,2.2879,0.7676239791918675,0.37943808526847533,0.7516192253173273,0.33361160608939144
CDFS_28456,0.5085321814729156,0.24968812862366008,0.509883964432376,0.22575358537446277,1.9259,0.009895496388736547,0.05514690058221561,0.0015948026909455848,0.042629665768771474
CDFS_28461,0.9131742119787987,0.5080981932584478,0.9131742119787987,0.5080981932584478,1.3404,0.05957415906949848,-0.030445429529208923,0.05957415906949848,-0.030445429529208923
CDFS_28486,0.6891869033142939,0.3750857161166863,0.6891869033142939,0.3750857161166863,0.7871,-0.03876577616605914,0.2354851821899473,-0.03876577616605914,0.2354851821899473
CDFS_28492,0.3422930866564684,0.5175678862578224,0.43071484209544053,0.5757088201770273,2.9806,1.9061022152209688,0.47818280490598397,,
CDFS_28495,1.0017518600936626,0.6182754912630628,1.0088359492431778,0.6195721893188448,1.2749,0.09101947897960372,0.058047870092622134,0.09021229091848681,0.05702191607883833
CDFS_28497,0.39380276168762407,0.5542688595426881,0.43071484209545474,0.5757088201770131,3.0126,2.492426064707459,0.5573477535079121,3.183166391855721,0.5282326149854129
CDFS_28501,0.7832778873306978,0.5066928771512096,0.7832777888778253,0.5066729790074476,0.7262,-0.0059043138483190205,0.3512676230249667,-0.005906351841844071,0.35126756129632497
CDFS_28503,0.6491327709850196,0.35375445713508213,0.6489362248628652,0.34567863814309874,1.2967,0.045798400504480696,-0.033454325758057735,0.045658787081791274,-0.034068671173102416
CDFS_28507,0.9559919675405553,0.5579069819675908,0.9559972620606345,0.5577435771403572,0.6654,0.03362869344380215,0.5434685958457095,0.03360522671417243,0.543476096622939
CDFS_28508,0.8269410813052929,0.5918820295693195,0.9091072037348198,0.6111951679672387,1.0977,0.024665552334866447,0.09992843515290417,0.021863294560745317,0.1103232607070197
CDFS_28525,0.4987160157879913,0.41003242889351554,0.5098839644323618,0.22575358537447698,3.4515,7.76322799907534,0.8936125512282871,,
CDFS_28529,0.8123977330138814,0.4985086641659535,0.8123977330138814,0.4985086641659535,0.6877,-0.03000013199041973,0.4092278733334638,-0.03000013199041973,0.4092278733334638
CDFS_28531,0.9559972620606061,0.5577435771403572,0.9559972620606061,0.5577435771403572,0.7062,0.014149655859014842,0.48307913549362524,0.014149655859014842,0.48307913549362524
CDFS_28535,1.2005182211063214,0.8390853917321408,1.3803541573013263,0.8638383299718413,0.7778,0.1846135039489809,0.5827898804529639,0.049901862878016345,0.6352146394016387
CDFS_28537,1.9131713163615558,1.1957333462457882,1.923775261168501,1.1920233057537786,0.716,0.4171255240562033,1.2393328612445345,0.4012864385192074,1.2407993312466772
CDFS_28538,0.6550360484140896,1.030633339484197,1.2590523769418809,1.3136038717497343,2.5705,0.6462829941147987,0.19659544453047317,,
CDFS_28542,0.20857640569080615,0.05942114809400323,0.20857640569080615,0.05942114809400323,1.6393,-0.077965645670389,-0.06143056577852235,-0.077965645670389,-0.06143056577852235
CDFS_28553,1.3803541573013263,0.8638383299718555,1.3803541573013263,0.8638383299718555,0.7485,0.06515615061725555,0.6690831030538362,0.06515615061725555,0.6690831030538362
CDFS_28566,1.0509405813544817,0.7479593385100998,1.0509405813544817,0.7479593385100998,0.7293,0.0260153637809708,0.4628345990755349,0.0260153637809708,0.4628345990755349
CDFS_28567,1.3803541573013405,0.8638383299718271,1.3803541573013405,0.8638383299718271,0.5185,0.374307767587581,1.0123946804076809,0.374307767587581,1.0123946804076809
CDFS_28576,0.46051824901650207,0.5827979197144941,0.5148112630716071,0.6089443579099338,2.477,0.848242850169612,0.33982855126004097,0.8245004649375431,0.3012097875657247
CDFS_28580,1.3803541573013405,0.8638383299718413,1.3803541573013405,0.8638383299718413,0.656,0.14844818053933295,0.8166905328745315,0.14844818053933295,0.8166905328745315
CDFS_28584,1.0509405813544959,0.747959338510114,1.0509405813544959,0.747959338510114,0.5294,0.18401683652419365,0.7593995770635615,0.18401683652419365,0.7593995770635615
CDFS_28592,0.6891869033142939,0.3750857161166721,0.6891869033142939,0.3750857161166721,0.7352,-0.03792868366153357,0.29882821990673847,-0.03792868366153357,0.29882821990673847
CDFS_28596,1.6020173470086263,1.0505289788737002,1.834912145442999,1.08588723182703,0.7388,0.3013892866169954,0.8594457325633584,0.2993629610524664,1.1513963937339327
CDFS_28602,1.3802664215443485,0.8642347173216933,1.3803541573013263,0.8638383299718413,0.8041,0.0374882236040861,0.6008720942987082,0.03737184872011312,0.6009076866799745
CDFS_28605,0.7993784683444289,0.7016740574425597,0.9106986802810155,0.7331064093711745,2.6146,1.2023876775763682,0.4483724244234253,1.2437759447635273,0.4224909933031
CDFS_28618,0.5693468093943608,0.6286746440401032,0.5693468093943608,0.6286746440401032,1.2919,0.25775146778016733,0.13860910994647213,0.25775146778016733,0.13860910994647213
CDFS_28621,0.8848585538853655,0.5070827776249018,0.9131742119788271,0.5080981932584621,0.4207,0.2632193792074844,0.7665395112259432,0.2641766477544536,0.7946965403622244
CDFS_28632,0.6187464129670985,0.32349580385437093,0.6187464129670985,0.32349580385437093,1.6131,-0.019137280374366128,-0.031093519885772025,-0.019137280374366128,-0.031093519885772025
CDFS_28638,0.5129300690327909,0.3599373528651455,0.5129300690327909,0.3599373528651455,0.5078,-0.008083986138842647,0.3899751951176853,-0.008083986138842647,0.3899751951176853
CDFS_28652,0.9335299519851645,0.8529350549786301,0.9337038540096216,0.8483875640517482,2.0048,0.4902892065646114,0.2784674478998568,0.49020939002183184,0.2783886291629045
CDFS_28653,0.5085321814729014,0.24968812862366008,0.509883964432376,0.22575358537447698,2.3261,0.4422060738234279,0.04185219724163858,0.43690641209352066,0.03126343702780332
CDFS_28657,1.3804139001472038,1.3437662241179282,1.380643608870244,1.3432175954360588,1.7201,0.683893055135016,0.558022935290083,0.6839433751165132,0.5581009352403044
CDFS_28661,0.6227483123454647,0.7811219353511376,0.6227483123454647,0.7811219353511376,0.9207,0.15356708929425622,0.14499979980108435,0.15356708929425622,0.14499979980108435
CDFS_28668,0.3432726734354219,0.20576016195694535,0.3870600453608972,0.17904277230061894,3.4586,5.55716141603483,0.8178693879549144,,
CDFS_28679,0.3812770624362827,0.535235240805946,0.5179928971429177,0.6128670269546177,2.4944,0.683834848759588,0.20754345042196576,1.030063492697053,0.3207955693155924
CDFS_28685,0.5210527898079249,0.5970148038191923,0.6578457734923546,0.657986540450807,0.9224,0.15812402031849615,0.16139530588247908,0.17337798628663847,0.1848678268005699
CDFS_28694,1.4107443449543666,1.1066982156262526,1.4107443449543666,1.1066982156262526,1.3405,0.36083061112175585,0.2610968235392477,0.36083061112175585,0.2610968235392477
