ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
UDS_6363,-104.30566032833987,-104.80930578615167,-105.03760520407985,-104.30566032833987,-104.80930578615167,-105.03760520407985,1.6296
UDS_6372,-104.39616109532024,-106.1751377772329,-107.26023286688884,-104.29845729981977,-106.13336944526276,-107.2192566770898,0.7146
UDS_6379,-100.82615297688072,-101.49508268833016,-101.9444946364729,-100.63295814334295,-101.33523251844639,-101.74468163767385,0.7228
UDS_6381,-99.99237436965191,-100.5022583340843,-100.72801191945878,-99.99237436965191,-100.5022583340843,-100.72801191945878,0.3309
UDS_6392,-103.5360474019048,-104.62548808643547,-105.58781772954715,-103.24034729194639,-104.38685962781636,-105.32247537563093,1.6943
UDS_6394,-101.71839973482321,-102.23255460245599,-102.8426890924351,-101.69772954912027,-102.21254081219186,-102.8214851701018,1.5486
UDS_6396,-104.80219354885617,-105.38606000111878,-106.00169544417628,-104.15923561757864,-105.00698470996,-105.71968266036096,4.3034
UDS_6402,-104.46126265384271,-104.9238383281991,-105.20059621794104,-104.19216135331104,-104.70204531774341,-104.92779890311787,2.8262
UDS_6406,-104.6491902189929,-105.41757072781436,-106.1335472630197,-104.13927610359963,-105.04997478388066,-105.78308119325183,3.1186
UDS_6407,-102.74223682254323,-103.24548385355259,-103.58425339865214,-102.47187031772319,-102.98175428215556,-103.20750786753004,1.8622
UDS_6415,-101.42062813237737,-103.28904936627737,-104.98698649357992,-101.39490931838628,-103.27873592486868,-104.98124273942832,1.502
UDS_6418,-103.89784687919337,-104.60012125429682,-105.00957037352424,-103.89784687919337,-104.60012125429682,-105.00957037352424,1.67
UDS_6419,-101.86676180755583,-102.51586613934631,-102.86845586844719,-101.86570312461029,-102.51463934947316,-102.86031798761626,1.0618
UDS_6423,-103.34259661612505,-104.30265982072123,-105.18320601139348,-103.21213119759062,-104.12282987787164,-104.85593628724281,2.4556
UDS_6427,-103.36070634526614,-104.41126799733807,-105.15999939074545,-103.35804501039796,-104.40898559175245,-105.15694493026257,0.714
UDS_6430,-101.03826665913628,-101.99426392119689,-102.55200749833725,-101.03826665913628,-101.99426392119689,-102.55200749833725,0.3502
UDS_6436,-102.57560130698991,-103.09880601056034,-103.64492328878184,-102.5747891703128,-103.08467313474517,-103.31042672011964,1.6351
UDS_6437,-102.49464488838514,-103.12932081725077,-103.53153691266881,-102.48410162139774,-103.11693039817924,-103.45078169704941,1.6962
UDS_6438,-99.33984259548369,-100.09852780265716,-101.21643414248167,-99.27760393652736,-100.06596302537093,-101.20147336804898,0.4763
UDS_6446,-103.5936422675728,-105.93821297541504,-107.64910478090037,-103.5936422675728,-105.93821297541504,-107.64910478090037,0.6127
UDS_6452,-103.1522639572488,-103.44915553640185,-103.54920142565597,-102.98422865558797,-103.31484536349144,-103.38845769898822,3.9226
UDS_6462,-102.59049888237087,-103.5287380226367,-104.09008984183886,-102.53975271753005,-103.49574997959066,-104.05349355673103,0.8334
UDS_6464,-101.85297544932894,-102.76559393223837,-103.29950068860903,-101.84688393808028,-102.76005815005908,-103.26815634331753,1.6128
UDS_6466,-103.07244912504613,-103.75572168358926,-104.4851424274003,-102.47928514147146,-102.98916910590384,-103.2149226912783,2.4504
UDS_6470,-103.24369286670085,-103.70869921490181,-103.90071747157486,-103.22687582361546,-103.68387143774116,-103.84444975574479,2.1172
UDS_6479,-104.04104625215474,-104.70363493633113,-105.35546204201606,-103.64627424563508,-104.49261667456022,-105.20965430346166,2.8359
UDS_6480,-102.36407451118332,-103.10657849367352,-103.54513922151449,-102.36407451118332,-103.10657849367352,-103.54513922151449,1.2594
UDS_6483,-103.8357305328018,-104.44149196245797,-104.73915990311569,-103.83527437806562,-104.44094186607927,-104.73532792008893,1.4017
UDS_6484,-104.47470972858247,-105.37331827566277,-106.10320678852057,-104.44722197860227,-105.3579206588833,-106.09102706825448,2.8281
UDS_6490,-102.062510291541,-102.6141715199884,-102.9129462022202,-101.90226606885582,-102.5079335568695,-102.80231961087915,0.678
UDS_6493,-104.09077163362637,-104.20729495447807,-104.26485435602528,-104.09077163362637,-104.20729495447807,-104.26485435602528,2.3215
UDS_6495,-103.73367783741593,-104.56362445678599,-105.16270208824378,-103.54562460710967,-104.4547318108445,-105.06592697881175,1.1571
UDS_6498,-102.45465811636467,-103.39517920484323,-104.00181801993433,-102.32807290662885,-103.33690885587201,-103.95648104519086,1.9897
UDS_6500,-99.26798452352351,-100.64813400692857,-101.51289687191495,-99.26748422455475,-100.64783838185608,-101.51167671182792,0.444
UDS_6509,-100.116825641796,-101.0728229038566,-101.63056648099696,-100.116825641796,-101.0728229038566,-101.63056648099696,0.7156
UDS_6514,-102.77038284446688,-103.1251875153584,-103.78151536317051,-102.76913754426437,-103.09975425216783,-103.17336658766462,1.7685
UDS_6518,-103.88182908553728,-104.26424353176644,-104.57219069063166,-103.33700137066337,-103.78386737466344,-103.98495626321206,2.4679
UDS_6522,-102.9011196606935,-103.41100362512589,-103.63675721050036,-102.9011196606935,-103.41100362512589,-103.63675721050036,1.5448
UDS_6526,-101.6322637749988,-102.24612817828655,-102.72504759520986,-101.6322637749988,-102.24612817828655,-102.72504759520986,1.3302
UDS_6557,-101.86476175288726,-102.60726573537747,-103.04582646321846,-101.86476175288726,-102.60726573537747,-103.04582646321846,1.0639
UDS_6558,-100.58236469776033,-101.49553890973914,-102.0036371029976,-100.58236469776033,-101.49553890973914,-102.0036371029976,0.603
UDS_6567,-102.4460648093087,-103.70993041588433,-104.55177680259162,-102.2757738301928,-103.65612798749413,-104.51996631746597,0.7066
UDS_6572,-102.68371578450648,-102.9016393642406,-103.14418604945273,-101.61975327565364,-102.04625673009531,-102.23929414712634,3.611
UDS_6573,-101.28315253240443,-101.69724866289415,-101.8053451309902,-101.28315253240443,-101.69724866289415,-101.8053451309902,0.6202
