id,z,field
9289,0.7045,cdfs
9291,0.1668,cdfs
9292,0.2463,cdfs
9297,3.7197,cdfs
9302,0.7511,cdfs
9303,1.0831,cdfs
9304,0.945,cdfs
9306,0.992,cdfs
9310,1.325,cdfs
9312,1.0097,cdfs
9315,0.6812,cdfs
9316,3.8486,cdfs
9318,1.5424,cdfs
9319,2.1044,cdfs
9320,2.4146,cdfs
9321,0.6823,cdfs
9323,3.1775,cdfs
9329,1.2749,cdfs
9330,1.7141,cdfs
9331,2.6401,cdfs
9333,3.6604,cdfs
9334,0.475,cdfs
9337,1.0009,cdfs
9340,0.5722,cdfs
9347,1.0348,cdfs
9348,3.7967,cdfs
9360,3.8314,cdfs
9364,0.6784,cdfs
9366,1.6132,cdfs
9367,0.9027,cdfs
9369,1.018,cdfs
9370,0.7462,cdfs
9373,2.8064,cdfs
9378,1.2008,cdfs
9382,2.0903,cdfs
9383,2.8322,cdfs
9385,1.509,cdfs
9388,1.4243,cdfs
9389,3.2731,cdfs
9393,0.8213,cdfs
9395,2.027,cdfs
9396,3.5386,cdfs
9400,0.7581,cdfs
9402,0.6607,cdfs
9411,0.4825,cdfs
9413,1.121,cdfs
9415,3.5222,cdfs
9416,3.8235,cdfs
9420,1.7368,cdfs
9425,1.8571,cdfs
9427,0.8292,cdfs
9428,2.1807,cdfs
9430,3.4925,cdfs
9433,0.4195,cdfs
9439,1.7406,cdfs
9443,0.7815,cdfs
9446,1.2581,cdfs
9447,0.8929,cdfs
9448,0.6083,cdfs
9449,3.0787,cdfs
9451,1.7526,cdfs
9454,0.6337,cdfs
9458,1.3434,cdfs
9462,3.6826,cdfs
9470,3.0393,cdfs
9480,4.6966,cdfs
9484,2.55,cdfs
9487,0.7421,cdfs
9491,3.776,cdfs
9494,2.5087,cdfs
9497,0.5856,cdfs
9498,2.7178,cdfs
9499,1.8356,cdfs
9500,0.3748,cdfs
9501,0.7479,cdfs
9502,1.7812,cdfs
9503,0.7572,cdfs
9505,1.8944,cdfs
9506,3.6049,cdfs
9510,0.7386,cdfs
