lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
2115.0,5.831050843228178e-08
2125.0,5.7863317627295116e-08
2135.0,5.7416126822308456e-08
2145.0,5.696893601732179e-08
2155.0,5.652174521233513e-08
2165.0,5.607455440734847e-08
2175.0,5.56273636023618e-08
2185.0,5.5180172797375135e-08
2187.7616199999998,5.505667569028842e-08
2195.0,5.483745365055434e-08
2205.0,5.4534593010833754e-08
2215.0,5.423173237111316e-08
2225.0,5.392887173139257e-08
2235.0,5.362601109167198e-08
2245.0,5.332315045195139e-08
2255.0,5.30202898122308e-08
2265.0,5.271742917251021e-08
2275.0,5.241456853278962e-08
2285.0,5.211170789306903e-08
2295.0,5.180884725334844e-08
2305.0,5.150598661362785e-08
2315.0,5.1203125973907255e-08
2325.0,5.0900265334186666e-08
2335.0,5.059740469446608e-08
2345.0,5.029454405474549e-08
2355.0,4.99916834150249e-08
2365.0,4.9688822775304303e-08
2375.0,4.9385962135583714e-08
2385.0,4.9083101495863125e-08
2395.0,4.8780240856142536e-08
2405.0,4.847738021642195e-08
2415.0,4.817451957670135e-08
2425.0,4.787165893698076e-08
2435.0,4.7568798297260174e-08
2445.0,4.7265937657539585e-08
2455.0,4.696307701781899e-08
2465.0,4.66602163780984e-08
2475.0,4.635735573837781e-08
2485.0,4.605449509865722e-08
2495.0,4.575163445893663e-08
2505.0,4.544877381921604e-08
2511.88643,4.524021095969693e-08
2513.0,4.52147333325694e-08
2518.0,4.5100337169205e-08
2525.0,4.494018254049485e-08
2535.0,4.471139021376606e-08
2545.0,4.448259788703727e-08
2555.0,4.4253805560308484e-08
2565.0,4.40250132335797e-08
2575.0,4.3796220906850905e-08
2585.0,4.356742858012212e-08
2595.0,4.333863625339333e-08
2605.0,4.310984392666454e-08
2615.0,4.288105159993575e-08
2625.0,4.265225927320697e-08
2635.0,4.2423466946478174e-08
2645.0,4.219467461974939e-08
2655.0,4.19658822930206e-08
2665.0,4.173708996629181e-08
2675.0,4.150829763956302e-08
2685.0,4.1279505312834236e-08
2695.0,4.105071298610544e-08
2705.0,4.0821920659376657e-08
2715.0,4.059312833264787e-08
2725.0,4.036433600591908e-08
2735.0,4.013554367919029e-08
2745.0,3.9906751352461505e-08
2755.0,3.967795902573271e-08
2765.0,3.9449166699003926e-08
2775.0,3.922037437227514e-08
2785.0,3.8991582045546346e-08
2795.0,3.876278971881756e-08
2805.0,3.8533997392088774e-08
2815.0,3.830520506535998e-08
2825.0,3.8076412738631195e-08
2835.0,3.784762041190241e-08
2845.0,3.7618828085173615e-08
2855.0,3.739003575844483e-08
2865.0,3.7161243431716036e-08
2875.0,3.693245110498725e-08
2884.0315,3.6725817315102145e-08
2885.0,3.671017092086297e-08
2895.0,3.654861806346314e-08
2910.0,3.6306288777363396e-08
2930.0,3.5983183062563734e-08
2950.0,3.566007734776408e-08
2970.0,3.5336971632964416e-08
2990.0,3.5013865918164754e-08
3010.0,3.46907602033651e-08
3030.0,3.436765448856544e-08
3050.0,3.4044548773765775e-08
3070.0,3.372144305896611e-08
3090.0,3.339833734416646e-08
3110.0,3.3075231629366795e-08
3130.0,3.2752125914567133e-08
3150.0,3.242902019976748e-08
3170.0,3.2105914484967816e-08
3190.0,3.1782808770168154e-08
3210.0,3.145970305536849e-08
3230.0,3.113659734056884e-08
3250.0,3.0813491625769175e-08
3270.0,3.049038591096951e-08
3290.0,3.016728019616986e-08
3310.0,2.9844174481370195e-08
3311.31121,2.9822991509155074e-08
3330.0,2.9609226233763845e-08
3350.0,2.9380463135252677e-08
3370.0,2.915170003674151e-08
3390.0,2.892293693823034e-08
3410.0,2.8694173839719176e-08
3430.0,2.8465410741208008e-08
3450.0,2.823664764269684e-08
3470.0,2.8007884544185672e-08
3490.0,2.7779121445674504e-08
3510.0,2.7550358347163336e-08
3530.0,2.7321595248652168e-08
3550.0,2.7092832150141e-08
3570.0,2.686406905162983e-08
3590.0,2.6635305953118664e-08
3610.0,2.64065428546075e-08
3630.0,2.617777975609633e-08
3640.0,2.6063398206840745e-08
3650.0,2.5949016657585163e-08
3670.0,2.5720253559073995e-08
3690.0,2.5491490460562827e-08
3710.0,2.526272736205166e-08
3730.0,2.503396426354049e-08
3750.0,2.4805201165029322e-08
3770.0,2.4576438066518154e-08
3790.0,2.4347674968006986e-08
3801.8939600000003,2.421163001084859e-08
3810.0,2.4146360249490963e-08
3830.0,2.398532042891858e-08
3850.0,2.3824280608346195e-08
3870.0,2.3663240787773813e-08
3890.0,2.3502200967201427e-08
3910.0,2.3341161146629045e-08
3930.0,2.3180121326056663e-08
3950.0,2.3019081505484277e-08
3970.0,2.2858041684911895e-08
3990.0,2.269700186433951e-08
4010.0,2.2535962043767127e-08
4030.0,2.2374922223194742e-08
4050.0,2.221388240262236e-08
4070.0,2.2052842582049974e-08
4090.0,2.1891802761477592e-08
4110.0,2.1730762940905206e-08
4130.0,2.1569723120332824e-08
4150.0,2.140868329976044e-08
4170.0,2.1247643479188056e-08
4190.0,2.1086603658615674e-08
4210.0,2.092556383804329e-08
4230.0,2.0764524017470906e-08
4250.0,2.060348419689852e-08
4270.0,2.044244437632614e-08
4290.0,2.0281404555753753e-08
4310.0,2.012036473518137e-08
4330.0,1.995932491460899e-08
4350.0,1.9798285094036603e-08
4365.15832,1.9676230437387668e-08
4370.0,1.9648556151408344e-08
4390.0,1.9534239278011825e-08
4410.0,1.9419922404615307e-08
4430.0,1.9305605531218788e-08
4450.0,1.919128865782227e-08
4470.0,1.907697178442575e-08
4490.0,1.8962654911029233e-08
4510.0,1.8848338037632714e-08
4530.0,1.8734021164236195e-08
4550.0,1.8619704290839677e-08
4570.0,1.8505387417443158e-08
4590.0,1.839107054404664e-08
4610.0,1.8276753670650124e-08
4630.0,1.8162436797253606e-08
4650.0,1.8048119923857087e-08
4670.0,1.793380305046057e-08
4690.0,1.781948617706405e-08
4710.0,1.770516930366753e-08
4730.0,1.7590852430271013e-08
4750.0,1.7476535556874495e-08
4770.0,1.7362218683477976e-08
4790.0,1.7247901810081457e-08
4810.0,1.713358493668494e-08
4830.0,1.7019268063288424e-08
4850.0,1.6904951189891905e-08
4870.0,1.6790634316495386e-08
4890.0,1.6676317443098868e-08
4910.0,1.656200056970235e-08
4930.0,1.644768369630583e-08
4950.0,1.6333366822909312e-08
4970.0,1.6219049949512794e-08
4990.0,1.6104733076116275e-08
5010.0,1.5990416202719757e-08
5011.87234,1.5979714199982996e-08
5030.0,1.5906227706620153e-08
5050.0,1.5825151060916472e-08
5070.0,1.5744074415212787e-08
5090.0,1.5662997769509102e-08
5110.0,1.558192112380542e-08
5130.0,1.5500844478101736e-08
5150.0,1.541976783239805e-08
5170.0,1.533869118669437e-08
5190.0,1.5257614540990685e-08
5210.0,1.5176537895287e-08
5230.0,1.509546124958332e-08
5250.0,1.5014384603879634e-08
5270.0,1.493330795817595e-08
5290.0,1.4852231312472266e-08
5310.0,1.4771154666768583e-08
5330.0,1.46900780210649e-08
5350.0,1.4609001375361215e-08
5370.0,1.4527924729657532e-08
5390.0,1.4446848083953849e-08
5410.0,1.4365771438250166e-08
5430.0,1.4284694792546481e-08
5450.0,1.4203618146842798e-08
5470.0,1.4122541501139115e-08
5490.0,1.404146485543543e-08
5510.0,1.3960388209731747e-08
5530.0,1.3879311564028064e-08
5550.0,1.379823491832438e-08
5570.0,1.3717158272620696e-08
5590.0,1.3636081626917013e-08
5610.0,1.3555004981213328e-08
5630.0,1.3473928335509645e-08
5650.0,1.3392851689805962e-08
5670.0,1.3311775044102277e-08
5690.0,1.3230698398398594e-08
5710.0,1.3149621752694911e-08
5730.0,1.3068545106991226e-08
5750.0,1.2987468461287543e-08
5754.399369999999,1.2969634153147076e-08
5770.0,1.2925029850652985e-08
5790.0,1.2867847156756535e-08
5810.0,1.2810664462860085e-08
5830.0,1.2753481768963637e-08
5850.0,1.2696299075067188e-08
5870.0,1.2639116381170738e-08
5890.0,1.2581933687274288e-08
5910.0,1.2524750993377838e-08
5930.0,1.2467568299481388e-08
5950.0,1.2410385605584939e-08
5970.0,1.2353202911688489e-08
5990.0,1.2296020217792039e-08
6010.0,1.2238837523895591e-08
6030.0,1.2181654829999141e-08
6050.0,1.2124472136102691e-08
6070.0,1.2067289442206242e-08
6090.0,1.2010106748309792e-08
6110.0,1.1952924054413342e-08
6130.0,1.1895741360516892e-08
6150.0,1.1838558666620443e-08
6170.0,1.1781375972723993e-08
6190.0,1.1724193278827545e-08
6210.0,1.1667010584931095e-08
6230.0,1.1609827891034645e-08
6250.0,1.1552645197138195e-08
6270.0,1.1495462503241746e-08
6290.0,1.1438279809345296e-08
6310.0,1.1381097115448846e-08
6330.0,1.1323914421552396e-08
6350.0,1.1266731727655946e-08
6370.0,1.1209549033759498e-08
6390.0,1.1152366339863049e-08
6410.0,1.1095183645966599e-08
6430.0,1.1038000952070149e-08
6450.0,1.09808182581737e-08
6470.0,1.092363556427725e-08
6490.0,1.08664528703808e-08
6510.0,1.080927017648435e-08
6530.0,1.07520874825879e-08
6550.0,1.0694904788691452e-08
6570.0,1.0637722094795e-08
6590.0,1.0580539400898552e-08
6606.93448,1.0532121441591775e-08
6610.0,1.0525948515608299e-08
6630.0,1.0485675243971015e-08
6650.0,1.044540197233373e-08
